year, month, day, m3/s
2007,6,1,0.2
2007,6,2,1.6
2007,6,3,3
2007,6,4,3.5
2007,6,5,3.8
2007,6,6,3.9
2007,6,7,4
2007,6,8,4.2
2007,6,9,3.9
2007,6,10,5.2
2007,6,11,5.9
2007,6,12,5.8
2007,6,13,9.3
2007,6,14,8.8
2007,6,15,10.5
2007,6,16,16.2
2007,6,17,20.4
2007,6,18,32.9
2007,6,19,35.7
2007,6,20,36.7
2007,6,21,40
2007,6,22,37.8
2007,6,23,45.5
2007,6,24,50.1
2007,6,25,58.1
2007,6,26,62.8
2007,6,27,57.6
2007,6,28,68
2007,6,29,6.4
2007,6,30,6.2
2007,7,1,4.4
2007,7,2,5.7
2007,7,3,9.3
2007,7,4,14
2007,7,5,21
2007,7,6,26.3
2007,7,7,34.3
2007,7,8,27.4
2007,7,9,38
2007,7,10,45.4
2007,7,11,53.3
2007,7,12,47.5
2007,7,13,42.3
2007,7,14,51
2007,7,15,57
2007,7,16,53
2007,7,17,40.5
2007,7,18,13
2007,7,19,13.3
2007,7,20,13.8
2007,7,21,16.5
2007,7,22,25
2007,7,23,39.4
2007,7,24,39.1
2007,7,25,50
2007,7,26,68.8
2007,7,27,64.2
2007,7,28,63.4
2007,7,29,58.5
2007,7,30,51
2007,7,31,64.2
2007,8,1,65.4
2007,8,2,77.9
2007,8,3,59.8
2007,8,4,77.8
2007,8,5,109.8
2007,8,6,63.5
2007,8,7,78.4
2007,8,8,38.6
2007,8,9,35.5
2007,8,10,28.5
2007,8,11,20.8
2007,8,12,27.3
2007,8,13,27
2007,8,14,29.3
2007,8,15,18.9
2007,8,16,6.1
2007,8,17,5.1
2007,8,18,1.1
2007,8,19,0.4
2007,8,20,0
2007,8,21,0.1
2007,8,22,0.3
2007,8,23,0.8
2007,8,24,0.9
2007,8,25,1.1
2007,8,26,1.5
2007,8,27,1.1
2007,8,28,1.2
2007,8,29,0.7
2007,8,30,0.6
2007,8,31,1
2007,9,1,0.4
2007,9,2,0
2007,9,3,0.6
2007,9,4,0.2
2007,9,5,0.8
2007,9,6,0.2
2007,9,7,0.7
2007,9,8,0.9
2007,9,9,0.5
2007,9,10,0.5
2007,9,11,0.5
2007,9,12,0
2007,9,13,0
2007,9,14,0
2007,9,15,0
2007,9,16,0
2007,9,17,0.7
2007,9,18,0.7
2007,9,19,0.7
2007,9,20,0.1
2007,9,21,0
2007,9,22,0
2007,9,23,0
2007,9,24,0
2007,9,25,0
2007,9,26,0
2007,9,27,0
2007,9,28,0
2007,9,29,0
2007,9,30,0
