H_grid, H_cell_center
32.467,31.951
31.342,30.66
29.922,29.143
28.332,27.502
26.658,25.81
24.961,24.117
23.282,22.458
21.648,20.854
20.077,19.319
18.58,17.861
17.161,16.482
15.824,15.185
14.567,13.968
13.388,12.827
12.285,11.761
11.255,10.765
10.293,9.836
9.3949,8.9688
8.5573,8.1599
7.776,7.4051
7.0469,6.7008
6.3663,6.0429
5.7303,5.4279
5.1354,4.8522
4.578,4.3123
4.0548,3.8049
3.5623,3.3266
3.0974,2.8742
2.6568,2.4447
2.2375,2.0348
1.8364,1.6417
1.4505,1.2623
1.0768,0.89361
0.7124,0.5328
0.35443,0.17695
0,NaN
